"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%)
"광업",석탄광업 및 채석업,70,3357,1653,417,49.24,70,3016,1926,431,63.86,61,2710,2196,362,81.03,58,2504,2395,381,95.65,56,2425,2923,308,120.54
"광업",석회석·금속·비금속광업 및 기타광업,984,7842,244,40,3.11,1008,8681,299,47,3.44,1021,8398,347,44,4.13,1029,8160,358,43,4.39,1015,7832,413,41,5.27
"제조업",식료품제조업,25363,297733,2173,14,0.73,26859,305672,2592,22,0.85,28538,316021,2905,19,0.92,29755,327413,2920,25,0.89,30752,328898,3287,28,1.00
"제조업",담배제조업,18,2490,2,0,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",섬유 또는 섬유제품 제조업(갑),15493,91318,299,8,0.33,15898,88923,373,9,0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",섬유 및 섬유제품 제조업,-,-,-,-,-,-,-,-,-,-,26227,179174,1081,22,0.60,27481,174703,994,16,0.57,27626,170121,1084,25,0.64
"제조업",목재 및 나무제품 제조업,10988,61543,1003,9,1.63,11560,63822,1062,6,1.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",목재 및 종이제품 제조업,-,-,-,-,-,-,-,-,-,-,16790,116466,1601,18,1.37,17181,115192,1457,16,1.26,17675,114654,1635,9,1.43
"제조업",펄프·지류제조업 및 제본 또는 인쇄물가공업,6120,64549,535,7,0.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",펄프·지류제조업,-,-,-,-,-,4922,55910,518,6,0.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",신문·화폐발행 출판업 및 인쇄업,18235,125116,318,8,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",출판·인쇄·제본업,-,-,-,-,-,18555,111142,440,7,0.40,18768,108148,443,2,0.41,18825,106122,435,5,0.41,18705,102721,406,9,0.40
"제조업",화학제품제조업,34456,396242,2218,32,0.56,35203,403273,2396,45,0.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",화학 및 고무제품 제조업,-,-,-,-,-,-,-,-,-,-,39225,452800,3172,54,0.70,39840,444007,3080,53,0.69,40301,438466,3516,59,0.80
"제조업",의약품 및 화장품향료 제조업,2533,70316,150,0,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",의약품·화장품향료·담배제조업,-,-,-,-,-,2684,79549,197,0,0.25,2839,84431,259,3,0.31,-,-,-,-,-,-,-,-,-,-
"제조업",의약품·화장품·연탄·석유제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3413,101859,308,6,0.30,3576,105005,314,6,0.30
"제조업",고무제품제조업,3824,65071,588,7,0.90,3910,64608,688,9,1.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",유리제조업,1963,27925,205,4,0.73,1976,26830,193,5,0.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",유리·도자기·시멘트제조업,-,-,-,-,-,-,-,-,-,-,5998,81079,675,35,0.83,-,-,-,-,-,-,-,-,-,-
"제조업",도자기 및 기타요업제품 제조업,3641,47228,390,19,0.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",도자기·기타요업제품·시멘트제조업,-,-,-,-,-,3988,55835,476,23,0.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",시멘트제조업,244,7243,49,1,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",비금속광물제품 및 금속제품제조업 또는 금속가공업,48390,372076,5079,95,1.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·비금속광물제품·금속제품제조업 또는 금속가공업,-,-,-,-,-,122564,941907,9485,159,1.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구 비금속광물 및 금속제품제조업,-,-,-,-,-,-,-,-,-,-,165675,1462709,13764,246,0.94,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·금속·비금속광물제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,173104,1508517,14121,256,0.94,175565,1479648,14891,272,1.01
"제조업",금속제련업,281,41529,83,9,0.20,268,41076,121,8,0.29,268,41402,152,2,0.37,275,42654,167,11,0.39,289,43138,275,16,0.64
"제조업",도금업,6385,65158,428,11,0.66,6759,67272,491,10,0.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구제조업,68932,545597,3873,57,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구제조업,20850,235737,654,8,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·전자제품·계량기·광학기계·기타정밀기구 제조업,-,-,-,-,-,49465,926360,1512,34,0.16,50318,906585,1701,39,0.19,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·정밀기구·전자제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53811,914017,1725,25,0.19,54267,909307,1914,31,0.21
"제조업",전자제품제조업,16805,570887,463,19,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",선박건조 및 수리업,7393,198328,1953,29,0.98,7407,169455,1848,26,1.09,7351,143999,2306,29,1.60,7466,143446,2492,28,1.74,7298,137123,3125,40,2.28
"제조업",수송용기계기구 제조업,13374,404873,2199,29,0.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수송용기계기구 제조업·자동차 및 모터사이클 수리업,-,-,-,-,-,33423,493835,3033,44,0.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",계량기·광학기계·기타정밀기구 제조업,10259,109144,275,4,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품제조업,6086,37352,148,5,0.40,6282,37118,153,2,0.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품 및 기타제품 제조업,-,-,-,-,-,-,-,-,-,-,23717,138980,1151,16,0.83,23990,134611,1141,28,0.85,24188,130699,1262,17,0.97
"제조업",섬유 또는 섬유제품 제조업(을),10111,103342,677,21,0.66,10420,101711,717,28,0.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",자동차 및 모터사이클 수리업,19380,89027,504,2,0.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",코크스 연탄 및 석유정제품 제조업,403,13053,48,9,0.37,406,13196,76,9,0.58,405,13254,64,7,0.48,-,-,-,-,-,-,-,-,-,-
"제조업",기타제조업,16778,107089,1019,26,0.95,16838,104564,1006,20,0.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전기·가스·증기 및 수도사업",전기·가스·증기 및 수도사업,2272,75496,87,4,0.12,2493,76967,108,5,0.14,2814,76687,111,5,0.14,3103,79034,105,9,0.13,3341,79791,130,4,0.16
"건설업",건설업,397405,3046523,25649,579,0.84,441758,2943742,27686,570,0.94,378343,2487807,27211,517,1.09,329279,2284916,26799,567,1.17,400990,2378751,29943,551,1.26
"운수·창고 및 통신업",철도·궤도 및 삭도운수업,276,58728,114,11,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·궤도·삭도·항공운수업,-,-,-,-,-,555,104542,341,6,0.33,631,137481,466,7,0.34,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·항공·창고·운수관련서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43218,482457,2402,36,0.50,44300,514758,2854,50,0.55
"운수·창고 및 통신업",자동차운수업 및 택배업 퀵서비스업,28160,335049,2213,75,0.66,30579,338136,2679,96,0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",육상 및 수상운수업,-,-,-,-,-,-,-,-,-,-,34041,348821,3528,104,1.01,38183,366343,4607,108,1.26,43191,380489,6942,104,1.82
"운수·창고 및 통신업",수상운수업 항만하역 및 화물취급사업,11089,127515,1206,19,0.95,11517,136891,1377,30,1.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",항공운수업,277,48245,81,1,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",운수관련서비스업,24257,154528,305,10,0.20,25217,160141,430,12,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고 및 운수관련 서비스업,-,-,-,-,-,-,-,-,-,-,41097,335264,1956,36,0.58,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",창고업,3427,43859,176,2,0.40,3585,44317,228,3,0.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",통신업,4046,70082,142,3,0.20,5707,89205,236,10,0.26,5655,89019,223,6,0.25,5658,87649,242,6,0.28,5758,98431,295,4,0.30
"임업",임업,11740,82773,1124,16,1.36,12105,89751,1041,13,1.16,12289,91682,1017,17,1.11,12919,101404,1030,17,1.02,14596,110395,946,13,0.86
"어업",어업 양식어업 및 어업관련서비스업,1633,5289,59,3,1.12,1748,5416,66,1,1.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"어업",어업,-,-,-,-,-,-,-,-,-,-,1858,5121,60,3,1.17,1898,4973,48,1,0.97,1918,4955,74,3,1.49
"농업",농업,15452,76033,555,6,0.73,17449,83540,648,14,0.78,18785,79482,642,9,0.81,19382,78940,639,10,0.81,20302,78999,668,11,0.85
"금융 및 보험업",금융 및 보험업,40892,764141,312,20,0.04,41968,778105,358,16,0.05,42320,777764,400,12,0.05,42858,782173,341,16,0.04,43679,781685,408,18,0.05
"기타의 사업",건물 등의 종합관리사업,115452,805033,3617,54,0.45,117982,826378,4118,86,0.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",건물종합관리 위생 및 유사서비스업,-,-,-,-,-,-,-,-,-,-,136623,953987,5138,112,0.54,-,-,-,-,-,-,-,-,-,-
"기타의 사업",시설관리및사업지원서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249030,2019544,8267,131,0.41,257544,2061786,9213,179,0.45
"기타의 사업",위생 및 유사서비스업,14220,111771,1049,29,0.94,14980,122488,1176,34,0.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",해외파견자,4591,36678,46,2,0.13,4870,45837,27,2,0.06,5051,47451,33,1,0.07,5000,44208,21,4,0.05,4995,47982,30,3,0.06
"기타의 사업",전문기술서비스업,130736,1070960,742,26,0.07,140428,1133497,975,31,0.09,149894,1183803,1058,28,0.09,-,-,-,-,-,-,-,-,-,-
"기타의 사업",전문·보건·교육·여가관련서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,423927,3638317,7014,71,0.19,445408,3814557,8584,89,0.23
"기타의 사업",보건 및 사회복지사업,147106,1467018,2929,13,0.20,149944,1550008,3670,23,0.24,153232,1634003,4228,12,0.26,-,-,-,-,-,-,-,-,-,-
"기타의 사업",교육서비스업,50525,309399,496,5,0.16,54305,325317,605,3,0.19,57351,328578,691,5,0.21,-,-,-,-,-,-,-,-,-,-
"기타의 사업",도·소매 및 소비자용품수리업,486285,1960720,5680,45,0.29,511314,2050786,6939,78,0.34,527998,2049430,7722,56,0.38,-,-,-,-,-,-,-,-,-,-
"기타의 사업",도소매·음식·숙박업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,878114,3306155,18592,117,0.56,901995,3288485,20569,122,0.63
"기타의 사업",부동산업 및 임대업,47363,121179,176,7,0.15,51677,129366,214,2,0.17,54647,129014,247,4,0.19,58911,131325,230,3,0.18,63391,138831,242,10,0.17
"기타의 사업",오락·문화 및 운동관련사업,36526,259985,839,10,0.32,39795,274751,1003,8,0.37,44458,283475,1161,8,0.41,-,-,-,-,-,-,-,-,-,-
"기타의 사업",국가 및 지방자치단체의 사업,42864,496577,2898,16,0.58,32434,475963,3594,20,0.76,31554,514653,4358,19,0.85,33406,608270,4700,22,0.77,36376,666566,4981,16,0.75
"기타의 사업",사업서비스업,-,-,-,-,-,98788,952942,2665,45,0.28,105169,979025,3323,54,0.34,-,-,-,-,-,-,-,-,-,-
"기타의 사업",주한미군,175,18812,35,0,0.19,174,21237,36,0,0.17,176,21578,57,1,0.26,175,21535,38,1,0.18,177,21872,35,2,0.16
"기타의 사업",기타의 각종사업,521236,2852584,12088,111,0.42,462270,2150360,12483,84,0.58,489687,2114879,13795,106,0.65,178019,914065,1711,50,0.19,187361,940195,1754,40,0.19
